識別番号,分野,頻出度,言葉,読み,文章,漢字1,読み1,漢字2,読み2
529,a音読み,D,弛廃,しはい,綱紀が弛廃する。,弛廃,しはい,X,X
530,a音読み,D,林藪,りんそう,林藪に分け入る。,林藪,りんそう,X,X
531,a音読み,D,鉄杵,てっしょ,鉄杵を磨く。,鉄杵,てっしょ,X,X
532,a音読み,D,轟音,ごうおん,重機が轟音を立てる。,轟音,ごうおん,X,X
533,a音読み,D,蕃境,ばんきょう,蕃境に踏み入れる。,蕃境,ばんきょう,X,X
534,a音読み,D,嵐気,らんき,山は嵐気に包まれた。,嵐気,らんき,X,X
535,a音読み,D,聯珠,れんじゅ,聯珠に興じる。,聯珠,れんじゅ,X,X
536,a音読み,D,補葺,ほしゅう,屋根を補葺する。,補葺,ほしゅう,X,X
537,a音読み,D,潟湖,せきこ,潟湖を干拓する。,潟湖,せきこ,X,X
538,a音読み,D,禾本,かほん,禾本科に属する。,禾本,かほん,X,X
539,a音読み,D,狼戻,ろうれい,狼戻の心を抱く。,狼戻,ろうれい,X,X
540,a音読み,D,端坐,たんざ,端坐して黙想する。,端坐,たんざ,X,X
541,a音読み,D,翠雨,すいう,翠雨が降り注ぐ。,翠雨,すいう,X,X
542,a音読み,D,憐情,れんじょう,孤児に憐情を覚える。,憐情,れんじょう,X,X
543,a音読み,D,射幸心,しゃこうしん,射幸心を煽る。,射幸心,しゃこうしん,X,X
544,a音読み,D,劫末,ごうまつ,劫末が近づく。,劫末,ごうまつ,X,X
545,a音読み,D,浩歎,こうたん,妻の早世に浩歎する。,浩歎,こうたん,X,X
546,a音読み,D,幡然,はんぜん,前言を幡然と改める。,幡然,はんぜん,X,X
547,a音読み,D,巌頭,がんとう,巌頭に立って眺める。,巌頭,がんとう,X,X
548,a音読み,D,水団,すいとん,水団をすする。,水団,すいとん,X,X
549,a音読み,D,臣妾,しんしょう,敵の臣妾となる。,臣妾,しんしょう,X,X
550,a音読み,D,晃晃,こうこう,街灯が晃晃と輝く。,晃晃,こうこう,X,X
551,a音読み,D,?盟,おうめい,旧友と?盟を結ぶ。,?盟,おうめい,X,X
552,a音読み,D,諸彦,しょげん,諸彦に告ぐ。,諸彦,しょげん,X,X
553,a音読み,D,簸却,はきゃく,旧套を簸却する。,簸却,はきゃく,X,X
554,a音読み,D,逐鹿,ちくろく,豪族同士が逐鹿する。,逐鹿,ちくろく,X,X
555,a音読み,D,鷹準,ようじゅん,鷹準が大空に舞う。,鷹準,ようじゅん,X,X
556,a音読み,D,梓行,しこう,詩集を梓行する。,梓行,しこう,X,X
557,a音読み,D,款語,かんご,学友と款語する。,款語,かんご,X,X
558,a音読み,D,老妓,ろうぎ,老妓の円熟した芸だ。,老妓,ろうぎ,X,X
559,a音読み,D,嘉猷,かゆう,嘉猷を進言する。,嘉猷,かゆう,X,X
560,a音読み,D,瀦滞,ちょたい,一時的に瀦滞する。,瀦滞,ちょたい,X,X
561,a音読み,D,掃滅,そうめつ,鼠盗を掃滅する。,掃滅,そうめつ,X,X
562,a音読み,D,寂滅,じゃくめつ,老僧が寂滅する。,寂滅,じゃくめつ,X,X
563,a音読み,D,柏槙,びゃくしん,柏槙が林立する。,柏槙,びゃくしん,X,X
564,a音読み,D,気?,きえん,気?を吐く。,気?,きえん,X,X
565,a音読み,D,孝悌,こうてい,孝悌は仁を為すの本。,孝悌,こうてい,X,X
566,a音読み,D,怯夫,きょうふ,怯夫のらく印を押す。,怯夫,きょうふ,X,X
567,a音読み,D,芝眉,しび,藩主の芝眉を拝する。,芝眉,しび,X,X
568,a音読み,D,腫脹,しゅちょう,リンパ節が腫脹する。,腫脹,しゅちょう,X,X
569,a音読み,D,皇儲,こうちょ,皇儲が外遊する。,皇儲,こうちょ,X,X
570,a音読み,D,?涙,ろうるい,?涙が流れ落ちる。,?涙,ろうるい,X,X
571,a音読み,D,談藪,だんそう,談藪を熟読玩味する。,談藪,だんそう,X,X
572,a音読み,D,穎悟,えいご,穎悟と評される。,穎悟,えいご,X,X
573,a音読み,D,泥裏,でいり,泥裏に土塊を洗う。,泥裏,でいり,X,X
574,a音読み,D,鹿柴,ろくさい,鹿柴をめぐらす。,鹿柴,ろくさい,X,X
575,a音読み,D,熟柿,じゅくし,熟柿を天日に干す。,熟柿,じゅくし,X,X
576,a音読み,D,叡智,えいち,叡智を結集する。,叡智,えいち,X,X
577,a音読み,D,宛然,えんぜん,宛然偉人の如しだ。,宛然,えんぜん,X,X
578,a音読み,D,按排,あんばい,配膳の順を按排する。,按排,あんばい,X,X
579,a音読み,D,胤嗣,いんし,胤嗣が誕生する。,胤嗣,いんし,X,X
580,a音読み,D,辛丑,しんちゅう,来年は辛丑に当たる。,辛丑,しんちゅう,X,X
581,a音読み,D,戟,げき,兵が戟を構える。,戟,げき,X,X
582,a音読み,D,骨董,こっとう,骨董市で壺を購う。,骨董,こっとう,X,X
583,a音読み,D,倭語,わご,返書に倭語を用いる。,倭語,わご,X,X
584,a音読み,D,蕃殖,はんしょく,猫が蕃殖する。,蕃殖,はんしょく,X,X
585,a音読み,D,爽然,そうぜん,静養して爽然となる。,爽然,そうぜん,X,X
586,a音読み,D,樵蘇,しょうそ,樵蘇を生業とする。,樵蘇,しょうそ,X,X
587,a音読み,D,花圃,かほ,早春の花圃を愛でる。,花圃,かほ,X,X
588,a音読み,D,戴冠,たいかん,戴冠式が挙行された。,戴冠,たいかん,X,X
589,a音読み,D,翰藻,かんそう,翰藻に通じる。,翰藻,かんそう,X,X
590,a音読み,D,戊申,ぼしん,戊申の年に生まれる。,戊申,ぼしん,X,X
591,a音読み,D,聡慧,そうけい,際立って聡慧な子だ。,聡慧,そうけい,X,X
592,a音読み,D,不壊,ふえ,不壊の信仰をもつ。,不壊,ふえ,X,X
593,a音読み,D,凄艶,せいえん,凄艶な姿に驚嘆する。,凄艶,せいえん,X,X
594,a音読み,D,大姦,たいかん,大姦は忠に似たり。,大姦,たいかん,X,X
595,a音読み,D,月卿,げっけい,月卿が参内する。,月卿,げっけい,X,X
596,a音読み,D,縦容,しょうよう,縦容と応対する。,縦容,しょうよう,X,X
597,a音読み,D,青黛,せいたい,青黛の空を見上げる。,青黛,せいたい,X,X
598,a音読み,D,尖鋭,せんえい,尖鋭な思想に立つ。,尖鋭,せんえい,X,X
599,a音読み,D,粉黛,ふんたい,外出前に粉黛を施す。,粉黛,ふんたい,X,X
600,a音読み,D,紙燭,しそく,紙燭に火を点ける。,紙燭,しそく,X,X
601,a音読み,D,吃緊,きっきん,吃緊の課題を扱う。,吃緊,きっきん,X,X
602,a音読み,D,堰塞,えんそく,河水を堰塞する。,堰塞,えんそく,X,X
603,a音読み,D,双頬,そうきょう,双頬に涼風を感じる。,双頬,そうきょう,X,X
604,a音読み,D,貝母,ばいも,貝母を薬に用いる。,貝母,ばいも,X,X
605,a音読み,D,衿帯,きんたい,衿帯に陣を張る。,衿帯,きんたい,X,X
606,a音読み,D,碩儒,せきじゅ,碩儒に助言を求める。,碩儒,せきじゅ,X,X
607,a音読み,D,摯実,しじつ,摯実な態度で接する。,摯実,しじつ,X,X
608,a音読み,D,徒爾,とじ,徒爾に終わる。,徒爾,とじ,X,X
609,a音読み,D,緩頬,かんきょう,緩頬を煩わす。,緩頬,かんきょう,X,X
610,a音読み,D,潰走,かいそう,我先と潰走する。,潰走,かいそう,X,X
611,a音読み,D,膏雨,こうう,膏雨を待つ。,膏雨,こうう,X,X
612,a音読み,D,穎哲,えいてつ,疑いのない穎哲だ。,穎哲,えいてつ,X,X
613,a音読み,D,謬説,びゅうせつ,謬説に惑わされる。,謬説,びゅうせつ,X,X
614,a音読み,D,鬱勃,うつぼつ,鬱勃たる闘志が湧く。,鬱勃,うつぼつ,X,X
615,a音読み,D,簸弄,はろう,乱世に簸弄される。,簸弄,はろう,X,X
616,a音読み,D,奪掠,だつりゃく,私財を奪掠される。,奪掠,だつりゃく,X,X
617,a音読み,D,幽栖,ゆうせい,職を退き幽栖する。,幽栖,ゆうせい,X,X
618,a音読み,D,神祇,じんぎ,神祇を祭る。,神祇,じんぎ,X,X
619,a音読み,D,草庵,そうあん,奥地に草庵を結ぶ。,草庵,そうあん,X,X
620,a音読み,D,姻戚,いんせき,姻戚関係を結ぶ。,姻戚,いんせき,X,X
621,a音読み,D,吃驚,きっきょう,不意の事で吃驚する。,吃驚,きっきょう,X,X
622,a音読み,D,己酉,きゆう,来年は己酉に当たる。,己酉,きゆう,X,X
623,a音読み,D,枕辺,ちんぺん,枕辺で看病する。,枕辺,ちんぺん,X,X
624,a音読み,D,毀誉,きよ,世の毀誉を意識する。,毀誉,きよ,X,X
625,a音読み,D,造兵廠,ぞうへいしょう,造兵廠で弾薬を作る。,造兵廠,ぞうへいしょう,X,X
626,a音読み,D,徽号,きごう,陛下より徽号を賜る。,徽号,きごう,X,X
627,a音読み,D,聯結,れんけつ,客車を聯結する。,聯結,れんけつ,X,X
628,a音読み,D,杢体,もったい,杢体を付ける。,杢体,もったい,X,X
629,a音読み,D,己未,きび,己未の年に卒業する。,己未,きび,X,X
630,a音読み,D,圃畦,ほけい,圃畦が乾燥する。,圃畦,ほけい,X,X
631,a音読み,D,暗碧,あんぺき,暗碧の夜空を眺める。,暗碧,あんぺき,X,X
632,a音読み,D,穎異,えいい,幼少より穎異な子だ。,穎異,えいい,X,X
633,a音読み,D,虞犯,ぐはん,虞犯少年を更生する。,虞犯,ぐはん,X,X
634,a音読み,D,棲遅,せいち,辺境の地で棲遅する。,棲遅,せいち,X,X
635,a音読み,D,栗栗,りつりつ,寒冬に栗栗とする。,栗栗,りつりつ,X,X
636,a音読み,D,鳴禽,めいきん,鳴禽の声が響く。,鳴禽,めいきん,X,X
637,a音読み,D,敏慧,びんけい,敏慧な頭脳をもつ。,敏慧,びんけい,X,X
638,a音読み,D,掩護,えんご,前戦の兵を掩護する。,掩護,えんご,X,X
639,a音読み,D,弥漫,びまん,鬱気が弥漫する。,弥漫,びまん,X,X
640,a音読み,D,請来,しょうらい,経典を請来する。,請来,しょうらい,X,X
641,a音読み,D,叩門,こうもん,叩門して中に入る。,叩門,こうもん,X,X
642,a音読み,D,嬉戯,きぎ,幼子が嬉戯する。,嬉戯,きぎ,X,X
643,a音読み,D,?次,るじ,?次の災難に遭う。,?次,るじ,X,X
644,a音読み,D,西戎,せいじゅう,西戎が侵入する。,西戎,せいじゅう,X,X
645,a音読み,D,階梯,かいてい,階梯をかけ上がる。,階梯,かいてい,X,X
646,a音読み,D,臼歯,きゅうし,臼歯で?み砕く。,臼歯,きゅうし,X,X
647,a音読み,D,冊封,さくほう,王から冊封を受ける。,冊封,さくほう,X,X
648,a音読み,D,辰砂,しんしゃ,辰砂で顔料を作る。,辰砂,しんしゃ,X,X
649,a音読み,D,叡慮,えいりょ,叡慮を奉ずる。,叡慮,えいりょ,X,X
650,a音読み,D,有卦,うけ,有卦に入る。,有卦,うけ,X,X
651,a音読み,D,金無垢,きんむく,金無垢の時計を買う。,金無垢,きんむく,X,X
652,a音読み,D,閏統,じゅんとう,閏統が王位を襲ぐ。,閏統,じゅんとう,X,X
653,a音読み,D,天竺,てんじく,天竺から伝来する。,天竺,てんじく,X,X
654,a音読み,D,寸隙,すんげき,寸隙を割いて鍛える。,寸隙,すんげき,X,X
655,a音読み,D,淵藪,えんそう,淵藪として栄える。,淵藪,えんそう,X,X
656,a音読み,D,甘藷,かんしょ,甘藷で地酒を造る。,甘藷,かんしょ,X,X
657,a音読み,D,稗官,はいかん,稗官に甘んじる。,稗官,はいかん,X,X
658,a音読み,D,稀有,けう,稀有な事故が起こる。,稀有,けう,X,X
659,a音読み,D,垢衣,こうい,垢衣を脱ぐ。,垢衣,こうい,X,X
660,a音読み,D,筆翰,ひっかん,筆翰流るるが如し。,筆翰,ひっかん,X,X
661,a音読み,D,帥先,そっせん,帥先して実践する。,帥先,そっせん,X,X
662,a音読み,D,小隙,しょうげき,小隙を埋める。,小隙,しょうげき,X,X
663,a音読み,D,寵辱,ちょうじょく,寵辱を繰り返す。,寵辱,ちょうじょく,X,X
664,a音読み,D,隠栖,いんせい,都を離れ隠栖する。,隠栖,いんせい,X,X
665,a音読み,D,禽鳥,きんちょう,好んで禽鳥を描く。,禽鳥,きんちょう,X,X
666,a音読み,D,頃来,けいらい,頃来多忙を極める。,頃来,けいらい,X,X
667,a音読み,D,甜瓜,てんか,甜瓜が成熟する。,甜瓜,てんか,X,X
668,a音読み,D,奄有,えんゆう,隣地を奄有する。,奄有,えんゆう,X,X
669,a音読み,D,斯学,しがく,斯学の権威となす。,斯学,しがく,X,X
670,a音読み,D,聾?,ろうあ,聾?者に配慮する。,聾?,ろうあ,X,X
671,a音読み,D,肌膚,きふ,肌膚に膏薬を貼る。,肌膚,きふ,X,X
672,a音読み,D,姦計,かんけい,姦計を巡らす。,姦計,かんけい,X,X
673,a音読み,D,飛箭,ひせん,飛箭が降り注ぐ。,飛箭,ひせん,X,X
674,a音読み,D,斧斤,ふきん,斧斤で薪を割る。,斧斤,ふきん,X,X
675,a音読み,D,捷報,しょうほう,捷報に歓喜する。,捷報,しょうほう,X,X
676,a音読み,D,慧悟,けいご,慧悟で勇敢な家臣だ。,慧悟,けいご,X,X
677,a音読み,D,慨歎,がいたん,我が境涯を慨歎する。,慨歎,がいたん,X,X
678,a音読み,D,一粟,いちぞく,そう海の一粟。,一粟,いちぞく,X,X
679,a音読み,D,綜合,そうごう,皆の提案を綜合する。,綜合,そうごう,X,X
680,a音読み,D,轟然,ごうぜん,轟然たる砲声が響く。,轟然,ごうぜん,X,X
681,a音読み,D,捧読,ほうどく,勅語を捧読する。,捧読,ほうどく,X,X
682,a音読み,D,塁砦,るいさい,塁砦を構築する。,塁砦,るいさい,X,X
683,a音読み,D,論駁,ろんばく,他説を論駁する。,論駁,ろんばく,X,X
684,a音読み,D,雛孫,すうそん,雛孫が子猫と戯れる。,雛孫,すうそん,X,X
685,a音読み,D,山麓,さんろく,山麓に草原が広がる。,山麓,さんろく,X,X
686,a音読み,D,溝渠,こうきょ,溝渠を張り巡らす。,溝渠,こうきょ,X,X
687,a音読み,D,群棲,ぐんせい,山中に鹿が群棲する。,群棲,ぐんせい,X,X
688,a音読み,D,舞妓,ぶぎ,酒席に舞妓を呼ぶ。,舞妓,ぶぎ,X,X
689,a音読み,D,戎衣,じゅうい,弾が戎衣を貫く。,戎衣,じゅうい,X,X
690,a音読み,D,叔姪,しゅくてつ,叔姪婚を禁じる。,叔姪,しゅくてつ,X,X
691,a音読み,D,仁恕,じんじょ,仁恕の心で接する。,仁恕,じんじょ,X,X
692,a音読み,D,薪柴,しんさい,薪柴を集める。,薪柴,しんさい,X,X
693,a音読み,D,翠微,すいび,翠微を眺める。,翠微,すいび,X,X
694,a音読み,D,縄矩,じょうく,縄矩を定める。,縄矩,じょうく,X,X
695,a音読み,D,冥加,みょうが,冥加に尽きる。,冥加,みょうが,X,X
696,a音読み,D,乙巳,いっし,乙巳の変が起こる。,乙巳,いっし,X,X
697,a音読み,D,界隈,かいわい,この界隈では評判だ。,界隈,かいわい,X,X
698,a音読み,D,符牒,ふちょう,荷物に符牒を付ける。,符牒,ふちょう,X,X
699,a音読み,D,妬心,としん,妬心を覚える。,妬心,としん,X,X
700,a音読み,D,瑞雲,ずいうん,突如瑞雲が現れる。,瑞雲,ずいうん,X,X
701,a音読み,D,弁疏,べんそ,弁疏の余地がない。,弁疏,べんそ,X,X
702,a音読み,D,訊鞠,じんきく,罪人に訊鞠を加える。,訊鞠,じんきく,X,X
703,a音読み,D,羅紗,らしゃ,羅紗の帽子を被る。,羅紗,らしゃ,X,X
704,a音読み,D,砥礪,しれい,公徳を砥礪する。,砥礪,しれい,X,X
705,a音読み,D,管窺,かんき,管窺を自覚する。,管窺,かんき,X,X
706,a音読み,D,汎称,はんしょう,複数の地を汎称する。,汎称,はんしょう,X,X
707,a音読み,D,梓匠,ししょう,梓匠を雇う。,梓匠,ししょう,X,X
708,a音読み,D,青翠,せいすい,青翠の大海が広がる。,青翠,せいすい,X,X
709,a音読み,D,董狐,とうこ,董狐の筆。,董狐,とうこ,X,X
710,a音読み,D,杜撰,ずさん,杜撰な計画を見直す。,杜撰,ずさん,X,X
711,a音読み,D,籠城,ろうじょう,籠城作戦を敢行する。,籠城,ろうじょう,X,X
712,a音読み,D,葡萄,ぶどう,葡萄を発酵させる。,葡萄,ぶどう,X,X
713,a音読み,D,欽羨,きんせん,欽羨の念を抱く。,欽羨,きんせん,X,X
714,a音読み,D,戊寅,ぼいん,戊寅の年に生まれる。,戊寅,ぼいん,X,X
715,a音読み,D,傭役,ようえき,適宜傭役する。,傭役,ようえき,X,X
716,a音読み,D,暢茂,ちょうも,灌木が暢茂する。,暢茂,ちょうも,X,X
717,a音読み,D,弄瓦,ろうが,娘の弄瓦を祝す。,弄瓦,ろうが,X,X
718,a音読み,D,拳骨,げんこつ,拳骨を振り上げる。,拳骨,げんこつ,X,X
719,a音読み,D,鹿砦,ろくさい,自陣に鹿砦を設ける。,鹿砦,ろくさい,X,X
720,a音読み,D,雲梯,うんてい,雲梯で腕力を鍛える。,雲梯,うんてい,X,X
721,a音読み,D,庇蔭,ひいん,罪人を庇蔭する。,庇蔭,ひいん,X,X
722,a音読み,D,舟筏,しゅうばつ,舟筏で対岸に渡る。,舟筏,しゅうばつ,X,X
723,a音読み,D,欣求,ごんぐ,浄土を欣求する。,欣求,ごんぐ,X,X
724,a音読み,D,茅舎,ぼうしゃ,宿場町に茅舎が並ぶ。,茅舎,ぼうしゃ,X,X
725,a音読み,D,畦畔,けいはん,田に畦畔を作る。,畦畔,けいはん,X,X
726,a音読み,D,糸鳶,しえん,空高く糸鳶をあげる。,糸鳶,しえん,X,X
727,a音読み,D,撫す,ぶす,腕を撫して待つ。,撫,ぶ,X,す
728,a音読み,D,牒状,ちょうじょう,牒状を送る。,牒状,ちょうじょう,X,X
729,a音読み,D,卦体,けたい,卦体が悪い。,卦体,けたい,X,X
730,a音読み,D,袈裟,けさ,袈裟と衣は心に着よ。,袈裟,けさ,X,X
731,a音読み,D,枇杷,びわ,枇杷の実を収穫する。,枇杷,びわ,X,X
732,a音読み,D,知嚢,ちのう,戦略に知嚢を絞る。,知嚢,ちのう,X,X
733,a音読み,D,長袖,ちょうしゅう,長袖の上着を着る。,長袖,ちょうしゅう,X,X
734,a音読み,D,檮昧,とうまい,檮昧を以て至福とす。,檮昧,とうまい,X,X
735,a音読み,D,英彦,えいげん,英彦として尊ばれる。,英彦,えいげん,X,X
736,a音読み,D,障碍,しょうがい,障碍を乗り越える。,障碍,しょうがい,X,X
737,a音読み,D,占卜,せんぼく,占卜で政事を行う。,占卜,せんぼく,X,X
738,a音読み,D,逼塞,ひっそく,片田舎に逼塞する。,逼塞,ひっそく,X,X
739,a音読み,D,詮議,せんぎ,容赦なく詮議する。,詮議,せんぎ,X,X
740,a音読み,D,賞翫,しょうがん,名器を賞翫する。,賞翫,しょうがん,X,X
741,a音読み,D,諒察,りょうさつ,御諒察下さい。,諒察,りょうさつ,X,X
742,a音読み,D,火箭,かせん,火箭を打ち上げる。,火箭,かせん,X,X
743,a音読み,D,畏怖,いふ,畏怖の念を抱く。,畏怖,いふ,X,X
744,a音読み,D,些末,さまつ,些末な事にこだわる。,些末,さまつ,X,X
745,a音読み,D,掩撃,えんげき,闇に紛れて掩撃する。,掩撃,えんげき,X,X
746,a音読み,D,薬圃,やくほ,薬圃から薬草を摘む。,薬圃,やくほ,X,X
747,a音読み,D,兵戟,へいげき,多くの兵戟を蓄える。,兵戟,へいげき,X,X
748,a音読み,D,嘉節,かせつ,嘉節を皆で祝う。,嘉節,かせつ,X,X
749,a音読み,D,濡滞,じゅたい,作業が濡滞する。,濡滞,じゅたい,X,X
750,a音読み,D,穎才,えいさい,穎才が認められる。,穎才,えいさい,X,X
751,a音読み,D,顎関節,がくかんせつ,顎関節が脱臼する。,顎関節,がくかんせつ,X,X
752,a音読み,D,伎楽,ぎがく,伎楽を上演する。,伎楽,ぎがく,X,X
753,a音読み,D,?囚,けいしゅう,敗れて?囚となる。,?囚,けいしゅう,X,X
754,a音読み,D,鶏黍,けいしょ,主から鶏黍を受ける。,鶏黍,けいしょ,X,X
755,a音読み,D,禎祥,ていしょう,禎祥が見られる。,禎祥,ていしょう,X,X
756,a音読み,D,昂然,こうぜん,昂然と胸を張る。,昂然,こうぜん,X,X
757,a音読み,D,晦匿,かいとく,官吏を辞め晦匿する。,晦匿,かいとく,X,X
758,a音読み,D,濤声,とうせい,砂浜に濤声が響く。,濤声,とうせい,X,X
759,a音読み,D,駕御,がぎょ,家臣を駕御する。,駕御,がぎょ,X,X
760,a音読み,D,鼠輩,そはい,政敵を鼠輩と蔑む。,鼠輩,そはい,X,X
761,a音読み,D,防諜,ぼうちょう,防諜を強化する。,防諜,ぼうちょう,X,X
762,a音読み,D,渥丹,あくたん,渥丹の器に薬を盛る。,渥丹,あくたん,X,X
763,a音読み,D,要津,ようしん,昔から要津とされる。,要津,ようしん,X,X
764,a音読み,D,竹箆,ちくへい,竹箆を打つ。,竹箆,ちくへい,X,X
765,a音読み,D,割烹,かっぽう,割烹で夕飯を済ます。,割烹,かっぽう,X,X
766,a音読み,D,播種,はしゅ,播種期を迎える。,播種,はしゅ,X,X
767,a音読み,D,擾乱,じょうらん,各地に擾乱が起こる。,擾乱,じょうらん,X,X
768,a音読み,D,微塵,みじん,微塵も痕跡がない。,微塵,みじん,X,X
769,a音読み,D,芸妓,げいぎ,芸妓が舞を披露する。,芸妓,げいぎ,X,X
770,a音読み,D,撞木,しゅもく,鐘も撞木の当たり柄。,撞木,しゅもく,X,X
771,a音読み,D,軽忽,けいこつ,軽忽な言動を戒める。,軽忽,けいこつ,X,X
772,a音読み,D,慧敏,けいびん,慧敏さに感心する。,慧敏,けいびん,X,X
773,a音読み,D,頭陀,ずだ,僧侶が頭陀行する。,頭陀,ずだ,X,X
774,a音読み,D,烹箭,ほうせん,師から烹箭を教わる。,烹箭,ほうせん,X,X
775,a音読み,D,銅壺,どうこ,銅壺で湯を沸かす。,銅壺,どうこ,X,X
776,a音読み,D,而立,じりつ,而立を迎え起業する。,而立,じりつ,X,X
777,a音読み,D,鞠訊,きくじん,容疑者を鞠訊する。,鞠訊,きくじん,X,X
778,a音読み,D,名妓,めいぎ,名妓と評判が高い。,名妓,めいぎ,X,X
779,a音読み,D,貰赦,せいしゃ,罪を貰赦する。,貰赦,せいしゃ,X,X
780,a音読み,D,砥柱,しちゅう,中流の砥柱。,砥柱,しちゅう,X,X
781,a音読み,D,匝囲,そうい,城を堀で匝囲する。,匝囲,そうい,X,X
782,a音読み,D,逼急,ひっきゅう,情勢が逼急している。,逼急,ひっきゅう,X,X
783,a音読み,D,竃煙,そうえん,竃煙が立ち上がる。,竃煙,そうえん,X,X
784,a音読み,D,鶯語,おうご,春山に鶯語が響く。,鶯語,おうご,X,X
785,a音読み,D,漏壺,ろうこ,漏壺が時を知らせる。,漏壺,ろうこ,X,X
786,a音読み,D,竪立,じゅりつ,自ら竪立する。,竪立,じゅりつ,X,X
787,a音読み,D,甑中,そうちゅう,甑中に塵を生ず。,甑中,そうちゅう,X,X
788,b訓読み,A,辿る,たどる,来た道を辿ってゴールを目指す。,辿,たど,X,る
789,b訓読み,A,擢んでる,ぬきんでる,その人の力量は擢んでている。,擢,ぬき,X,んでる
790,b訓読み,A,殆,ほとほと,近所のうわさ話に殆困っている。,殆,ほとほと,X,X
791,b訓読み,A,柵,しがらみ,会社の柵を断ち切りたい。,柵,しがらみ,X,X
792,b訓読み,A,捌く,さばく,性格が捌けているといわれる。,捌,さば,X,く
793,b訓読み,A,巽,たつみ,巽の方角にきれいな星が点在する。,巽,たつみ,X,X
794,b訓読み,A,萎れる,しおれる,萎れかけた花を水に挿す。,萎,しお,X,れる
795,b訓読み,A,蘇る,よみがえる,意識不明の状態から蘇った。,蘇,よみがえ,X,る
796,b訓読み,A,頗る,すこぶる,父は頗る上機嫌で出迎えてくれた。,頗,すこぶ,X,る
797,b訓読み,A,椙,すぎ,その山には椙が林立している。,椙,すぎ,X,X
798,b訓読み,A,嘉する,よみする,すばらしい贈り物を嘉する。,嘉,よみ,X,する
799,b訓読み,A,屡,しばしば,帰宅途中で屡訪れる店だ。,屡,しばしば,X,X
800,b訓読み,A,忽せ,ゆるがせ,そんな些細なことも忽せにしない。,忽,ゆるが,X,せ
801,b訓読み,A,詑く,あざむく,人を詑くことなく生きていたい。,詑,あざむ,X,く
802,b訓読み,A,漣,さざなみ,夕暮れに湖の漣を見つめていた。,漣,さざなみ,X,X
803,b訓読み,A,誹る,そしる,知人に誹られ気がふさぐ。,誹,そし,X,る
804,b訓読み,A,葎,むぐら,葎は広い範囲に亘って密生する。,葎,むぐら,X,X
805,b訓読み,A,適う,かなう,眼鏡に適う人物はいなかった。,適,かな,X,う
806,b訓読み,A,泥む,なずむ,旧例に泥んでいては進歩がない。,泥,なず,X,む
807,b訓読み,A,頑,かたくな,その頑さは誰に似たのだろう。,頑,かたくな,X,X
808,b訓読み,A,荻,おぎ,荻の根茎が地中を走る。,荻,おぎ,X,X
809,b訓読み,A,狛犬,こまいぬ,子供の頃、神社の狛犬が怖かった。,狛犬,こまいぬ,X,X
810,b訓読み,A,粥ぐ,ひさぐ,生活のため玩具などを粥ぐ。,粥,ひさ,X,ぐ
811,b訓読み,A,幼い,いとけない,我が子の幼い仕草に心が和む。,幼,いとけな,X,い
812,b訓読み,A,認める,したためる,お礼の手紙を認める。,認,したた,X,める
813,b訓読み,A,肖る,あやかる,彼の成功に肖りたい。,肖,あやか,X,る
814,b訓読み,A,鵜,う,鵜の目鷹の目で狙っている。,鵜,う,X,X
815,b訓読み,A,阿る,おもねる,この論説は時流に阿っている。,阿,おもね,X,る
816,b訓読み,A,苛い,からい,作品が苛い評価をされる。,苛,から,X,い
817,b訓読み,A,噺,はなし,落語家の噺を聞く。,噺,はなし,X,X
818,b訓読み,A,蔑ろ,ないがしろ,人の親切を蔑ろにする。,蔑,ないがし,X,ろ
819,b訓読み,A,宥める,なだめる,泣く子を必死に宥めている。,宥,なだ,X,める
820,b訓読み,A,籾,もみ,脱穀後の籾がらを掃除する。,籾,もみ,X,X
821,b訓読み,A,煽てる,おだてる,煽てられていい気になる。,煽,おだ,X,てる
822,b訓読み,A,戚む,いたむ,母の死を戚む。,戚,いた,X,む
823,b訓読み,A,歪む,ひずむ,その決定は大きな歪みを生んだ。,歪,ひず,X,む
824,b訓読み,A,誼,よしみ,昔の誼で口ききしてくれた。,誼,よしみ,X,X
825,b訓読み,A,笈,おい,笈を背負って行脚に出かけた。,笈,おい,X,X
826,b訓読み,A,宛ら,さながら,そのシーンは宛ら映画のようだ。,宛,さなが,X,ら
827,b訓読み,A,姑く,しばらく,二人の問題は姑く置いておく。,姑,しばら,X,く
828,b訓読み,A,鐙,あぶみ,鐙を蹴って馬に合図を送る。,鐙,あぶみ,X,X
829,b訓読み,A,坐ら,いながら,海外に坐らにして日本の事件を知る。,坐,いなが,X,ら
830,b訓読み,A,蝕む,むしばむ,作物を蝕む害虫を排除する。,蝕,むしば,X,む
831,b訓読み,A,賂う,まいなう,賂いの品と知り受け取りを拒否する。,賂,まいな,X,う
832,b訓読み,A,轍,わだち,雪の上に轍が続いている。,轍,わだち,X,X
833,b訓読み,A,覗く,のぞく,小さな穴から部屋の中を覗いた。,覗,のぞ,X,く
834,b訓読み,A,俄かに,にわかに,俄か評論家になって批評する。,俄,にわ,X,かに
835,b訓読み,A,砧,きぬた,歌舞伎の立ち回りで砧拍子が響く。,砧,きぬた,X,X
836,b訓読み,A,偏,ひとえ,完成は偏に君の努力によるものだ。,偏,ひとえ,X,X
